"Type","Treat","Conc","uptake"
"Mississippi","Chilled",531,17.84
"Quebec","Chilled",694,9.49
"Quebec","Chilled",813,7.25
"Quebec","Chilled",914,19.88
"Mississippi","Chilled",586,22.87
"Mississippi","Chilled",263,24.79
"Mississippi","NonChilled",361,8.11
"Quebec","NonChilled",243,19.69
"Mississippi","Chilled",333,14.33
"Quebec","Chilled",758,17.95
"Mississippi","Chilled",674,9.64
"Mississippi","Chilled",521,11.86
"Quebec","Chilled",680,12.95
"Mississippi","Chilled",588,20.59
"Quebec","Chilled",414,10.58
"Mississippi","NonChilled",799,9.7
"Mississippi","Chilled",681,17.91
"Mississippi","NonChilled",803,7.93
"Mississippi","Chilled",281,15.27
"Quebec","NonChilled",472,16.17
"Quebec","Chilled",967,15.83
"Quebec","Chilled",455,16.24
"Mississippi","Chilled",193,21.01
"Quebec","NonChilled",588,25.83
"Mississippi","Chilled",956,22.97
"Quebec","NonChilled",874,9.13
"Quebec","NonChilled",606,23.37
"Mississippi","NonChilled",707,17.79
"Quebec","Chilled",563,19.98
"Mississippi","Chilled",934,22
"Quebec","Chilled",205,14.65
"Mississippi","Chilled",560,23.21
"Quebec","Chilled",809,10.6
"Quebec","NonChilled",886,16.42
"Mississippi","Chilled",914,9.28
"Quebec","Chilled",835,11.34
"Mississippi","NonChilled",260,24.2
"Quebec","Chilled",764,16
"Mississippi","Chilled",790,17.27
"Quebec","NonChilled",703,25.5
"Quebec","Chilled",920,25.48
"Mississippi","Chilled",466,20.02
"Quebec","Chilled",962,21.82
"Quebec","NonChilled",525,7.39
"Mississippi","NonChilled",296,20.84
"Mississippi","NonChilled",642,24.53
"Mississippi","Chilled",261,15.37
"Quebec","Chilled",580,20.41
"Quebec","Chilled",486,22.52
"Quebec","Chilled",849,16.25
"Quebec","Chilled",618,23.02
"Quebec","NonChilled",524,16.36
"Quebec","Chilled",293,7.34
"Quebec","Chilled",538,15.37
"Mississippi","NonChilled",328,16.08
"Mississippi","NonChilled",400,18.42
"Quebec","Chilled",883,15.42
"Quebec","NonChilled",514,12.84
"Mississippi","Chilled",505,19.79
"Quebec","Chilled",539,18.57
"Quebec","Chilled",854,25.5
"Mississippi","Chilled",134,10.34
"Quebec","NonChilled",395,25.49
"Quebec","Chilled",200,18.01
"Quebec","NonChilled",845,21.02
"Quebec","Chilled",537,23.45
"Quebec","Chilled",591,19.3
"Quebec","NonChilled",471,20.2
"Mississippi","Chilled",523,25.92
"Quebec","Chilled",226,23.14
"Quebec","NonChilled",152,21.55
"Mississippi","Chilled",145,9.62
"Mississippi","Chilled",193,8.81
"Quebec","Chilled",441,16.92
"Mississippi","Chilled",791,10.66
"Quebec","NonChilled",775,20.9
"Quebec","Chilled",210,16.4
"Quebec","Chilled",967,9.71
"Mississippi","Chilled",250,22.98
"Quebec","NonChilled",549,24.88
"Mississippi","NonChilled",619,12.28
"Mississippi","NonChilled",941,9.86
"Quebec","Chilled",843,20.43
"Quebec","Chilled",591,17.74
"Quebec","Chilled",461,8.72
"Quebec","NonChilled",603,17.65
"Mississippi","NonChilled",822,18.69
"Quebec","NonChilled",674,17.42
"Mississippi","Chilled",216,14.48
"Mississippi","Chilled",293,14.92
"Quebec","Chilled",862,24.19
"Quebec","Chilled",544,19.8
"Mississippi","Chilled",805,25.14
"Quebec","NonChilled",841,9.87
"Mississippi","Chilled",385,17.64
"Mississippi","NonChilled",323,8.87
"Quebec","Chilled",668,18.85
"Mississippi","Chilled",452,11.87
"Mississippi","NonChilled",900,16.11
"Mississippi","NonChilled",235,16.07
"Quebec","Chilled",263,22.78
"Mississippi","NonChilled",684,24.02
"Quebec","Chilled",288,17.96
"Mississippi","NonChilled",706,24.93
"Mississippi","Chilled",573,12.54
"Quebec","Chilled",774,18.88
"Mississippi","NonChilled",419,18.78
"Mississippi","Chilled",222,19.32
"Quebec","NonChilled",477,11.46
"Quebec","NonChilled",600,14.67
"Quebec","Chilled",773,10.25
"Quebec","NonChilled",276,16.86
"Quebec","Chilled",638,18.1
"Quebec","Chilled",562,8.52
"Mississippi","Chilled",944,20.85
"Quebec","Chilled",922,18.67
"Quebec","Chilled",259,19.75
"Quebec","Chilled",394,12.63
"Mississippi","NonChilled",736,13.85
"Mississippi","Chilled",793,18.99
"Mississippi","NonChilled",571,25.24
"Mississippi","Chilled",323,13.93
"Quebec","Chilled",270,10.76
"Mississippi","NonChilled",402,11.83
"Mississippi","NonChilled",164,16.22
"Quebec","NonChilled",711,14.85
"Quebec","Chilled",778,13.24
"Mississippi","Chilled",342,13.78
"Quebec","NonChilled",534,19.99
"Mississippi","NonChilled",164,23.4
"Mississippi","NonChilled",211,15.91
"Quebec","Chilled",910,18.07
"Quebec","Chilled",663,16.47
"Quebec","Chilled",686,19.68
"Mississippi","NonChilled",528,20.07
"Quebec","Chilled",370,9.04
"Quebec","NonChilled",952,9.13
"Quebec","NonChilled",145,24.72
"Mississippi","NonChilled",280,15.02
"Mississippi","Chilled",975,17.7
"Quebec","NonChilled",825,25.17
"Quebec","NonChilled",1000,10.72
"Mississippi","NonChilled",353,11.25
"Mississippi","Chilled",634,18.81
"Quebec","Chilled",188,22.86
"Quebec","Chilled",827,22.35
"Quebec","NonChilled",895,9.87
"Mississippi","Chilled",903,8.58
"Quebec","Chilled",135,21.8
"Quebec","Chilled",336,25.14
"Quebec","Chilled",656,18.75
"Quebec","Chilled",442,15.31
"Mississippi","NonChilled",746,19.62
"Quebec","Chilled",162,23.51
"Mississippi","NonChilled",700,16.55
"Quebec","NonChilled",327,17.05
"Quebec","Chilled",364,21.64
"Mississippi","Chilled",767,14.03
"Quebec","NonChilled",281,24.87
"Mississippi","NonChilled",462,7.63
"Mississippi","Chilled",724,13.43
"Quebec","NonChilled",488,9.58
"Mississippi","Chilled",599,13.41
"Quebec","Chilled",523,16.19
"Mississippi","Chilled",236,21.39
"Mississippi","NonChilled",152,22.13
"Quebec","Chilled",270,14.91
"Mississippi","Chilled",824,7.57
"Mississippi","NonChilled",250,24.83
"Mississippi","Chilled",190,24.39
"Quebec","NonChilled",150,18.63
"Quebec","Chilled",490,24.46
"Mississippi","NonChilled",872,18.9
"Mississippi","NonChilled",414,9.4
"Mississippi","Chilled",514,9.71
"Quebec","Chilled",487,19.95
"Quebec","Chilled",433,24.54
"Quebec","NonChilled",937,9.86
"Quebec","Chilled",939,23.81
"Quebec","Chilled",370,15.55
"Quebec","Chilled",763,7.89
"Quebec","Chilled",315,22.65
"Mississippi","Chilled",948,25.36
"Mississippi","NonChilled",181,22.34
"Mississippi","NonChilled",990,12.63
"Mississippi","Chilled",309,10.76
"Quebec","Chilled",404,10.83
"Quebec","Chilled",232,13.64
"Mississippi","NonChilled",636,11.26
"Mississippi","NonChilled",701,10.13
"Quebec","NonChilled",997,8.76
"Mississippi","NonChilled",295,19.03
"Mississippi","NonChilled",839,21.91
"Mississippi","Chilled",667,8.13
"Mississippi","Chilled",987,8.6
"Quebec","NonChilled",512,7.08
"Mississippi","Chilled",759,9.7
"Mississippi","Chilled",191,24.65
"Quebec","NonChilled",677,10.08
"Mississippi","NonChilled",313,25.78
"Quebec","NonChilled",929,20.38
"Quebec","Chilled",835,13.17
"Mississippi","Chilled",874,13.23
"Mississippi","NonChilled",840,21.76
"Mississippi","NonChilled",490,16.47
"Quebec","Chilled",980,16.44
"Quebec","Chilled",562,12.06
"Quebec","Chilled",561,24.67
"Quebec","NonChilled",426,19.87
"Mississippi","Chilled",184,20.49
"Mississippi","NonChilled",919,12.35
"Mississippi","Chilled",318,18.03
"Mississippi","Chilled",385,25.13
"Quebec","NonChilled",701,7.68
"Mississippi","Chilled",621,16.69
"Mississippi","NonChilled",975,23.35
"Quebec","Chilled",217,12.27
"Quebec","Chilled",601,13.89
"Quebec","Chilled",926,24.41
"Quebec","Chilled",889,8.52
"Quebec","NonChilled",916,16.74
"Quebec","Chilled",806,14.98
"Quebec","NonChilled",271,10
"Quebec","Chilled",231,15.54
"Mississippi","Chilled",229,10.22
"Mississippi","NonChilled",503,23.25
"Quebec","Chilled",805,20.07
"Quebec","Chilled",916,9.31
"Quebec","NonChilled",498,9.26
"Mississippi","NonChilled",833,12.48
"Mississippi","NonChilled",535,24.86
"Quebec","Chilled",719,24.7
"Quebec","NonChilled",789,10.48
"Mississippi","NonChilled",723,24.34
"Mississippi","NonChilled",867,8.26
"Quebec","Chilled",398,23.67
"Mississippi","NonChilled",285,8.12
"Mississippi","Chilled",207,25.08
"Quebec","Chilled",138,10.04
"Mississippi","Chilled",915,18.04
"Quebec","Chilled",822,20.52
"Quebec","NonChilled",193,12.33
"Mississippi","NonChilled",214,7.51
"Quebec","NonChilled",277,20.5
"Quebec","Chilled",588,12.94
"Mississippi","NonChilled",768,23.25
"Mississippi","NonChilled",228,15.96
"Mississippi","NonChilled",216,25.85
"Mississippi","NonChilled",608,8.48
"Quebec","NonChilled",379,7.47
"Mississippi","Chilled",510,17.93
"Mississippi","NonChilled",229,18.55
"Quebec","Chilled",931,7.08
"Mississippi","Chilled",766,21.13
"Mississippi","NonChilled",529,7.89
"Quebec","NonChilled",713,16.09
"Mississippi","Chilled",377,24.83
"Quebec","Chilled",706,8.13
"Mississippi","Chilled",453,25.12
"Quebec","Chilled",712,21.65
"Mississippi","NonChilled",486,23.18
"Mississippi","NonChilled",747,11.14
"Mississippi","Chilled",371,25.89
"Quebec","NonChilled",771,20.18
"Quebec","NonChilled",628,12.46
"Quebec","NonChilled",146,22.54
