Mth,Nbr,Vol,Tim,Gender,Mar
2,5,1250,37,M,0
2,12,2981,98,F,0
9,5,1265,19,F,0
2,2,507,11,M,0
2,9,2259,74,M,0
5,14,3522,86,M,0
4,3,757,16,M,0
4,3,754,16,F,0
4,2,514,9,F,1
4,3,772,16,M,1
6,3,770,14,M,0
2,2,495,11,F,0
2,2,480,11,F,1
2,2,493,11,F,0
2,7,1749,58,M,1
4,6,1504,39,M,0
4,11,2771,78,F,0
2,1,251,2,M,1
2,1,235,2,M,0
2,1,272,2,M,0
2,1,236,2,M,0
2,1,231,2,M,0
2,1,258,2,F,0
2,1,227,2,M,0
2,1,255,2,F,0
2,1,235,2,F,0
2,1,236,2,M,0
2,1,266,2,F,1
2,1,231,2,F,1
2,1,260,2,F,1
2,1,274,2,F,0
2,1,244,2,F,0
2,1,225,2,M,0
2,1,245,2,M,0
2,1,248,2,M,0
2,1,241,2,F,0
2,1,241,2,M,0
2,1,253,2,F,0
2,1,238,2,M,0
11,10,2485,35,F,0
11,4,975,16,F,1
4,5,1232,33,F,1
4,6,1483,41,F,1
2,3,743,22,M,0
4,4,1000,26,F,1
10,4,1009,16,F,0
2,4,1017,35,M,0
4,12,2996,88,F,0
13,8,1980,26,F,0
11,9,2275,33,F,0
4,5,1229,34,F,0
4,4,1002,26,F,0
8,15,3745,77,M,0
4,5,1226,35,F,1
4,7,1744,52,M,0
4,7,1740,52,F,0
2,4,992,35,M,0
11,11,2762,42,F,0
2,2,522,14,M,0
2,5,1252,47,M,1
9,8,2010,38,F,1
4,6,1494,47,M,0
11,7,1728,29,F,0
9,9,2258,45,F,0
4,6,1523,52,F,0
4,7,1752,58,F,0
6,2,497,11,F,1
4,7,1727,58,M,0
11,9,2270,38,F,0
11,6,1506,26,M,0
2,2,475,16,M,0
2,7,1749,76,M,0
11,6,1506,27,M,0
11,3,756,14,M,0
4,1,260,4,F,0
4,1,228,4,M,0
4,1,265,4,F,0
4,1,249,4,F,0
4,1,244,4,M,0
4,1,246,4,F,1
4,1,232,4,M,0
4,1,259,4,F,0
4,1,261,4,M,0
4,1,232,4,M,0
4,1,241,4,F,0
4,1,243,4,M,1
4,1,275,4,M,1
4,1,237,4,M,0
4,1,238,4,M,1
4,1,256,4,F,1
4,1,255,4,M,0
4,3,756,24,F,0
4,1,242,4,M,0
4,1,240,4,F,0
4,1,242,4,M,0
4,1,250,4,F,1
4,1,273,4,M,0
10,8,1978,39,F,0
14,7,1751,26,M,0
8,10,2508,63,F,0
11,3,751,15,M,0
4,2,480,14,F,0
2,4,985,43,M,0
8,9,2246,58,M,0
8,8,1980,52,F,1
11,22,5509,98,F,0
4,3,743,25,M,1
11,17,4268,79,M,1
9,2,497,11,M,0
4,5,1256,46,F,0
11,12,3001,58,F,0
7,12,2994,86,F,0
11,2,488,11,M,0
11,2,520,11,M,0
11,2,513,11,F,0
2,6,1503,75,F,0
11,8,2003,41,F,1
11,3,737,16,M,1
12,13,3229,59,M,0
2,3,727,35,M,0
16,8,1994,28,F,0
11,7,1727,37,M,0
4,3,755,28,M,0
12,12,2996,58,F,0
4,4,1003,41,F,0
11,14,3486,73,F,1
2,2,493,23,M,0
2,3,752,38,F,1
4,5,1243,58,F,0
4,4,992,43,F,1
3,2,479,23,M,0
11,8,1989,46,M,0
4,7,1753,82,M,0
13,4,1013,21,M,0
16,11,2760,40,F,0
16,7,1726,28,F,0
7,2,509,16,F,0
4,5,1226,58,F,0
4,5,1256,58,F,0
4,4,1025,46,M,0
14,13,3248,57,F,0
4,3,750,34,F,0
14,18,4481,78,F,0
11,8,2000,48,F,0
14,16,3992,70,M,0
14,4,1001,22,F,1
14,5,1258,26,F,0
8,2,478,16,F,0
11,5,1270,33,M,0
11,2,523,14,M,0
4,2,522,23,F,0
9,2,498,16,F,1
14,5,1252,28,F,1
14,3,741,19,F,1
14,4,1003,23,M,1
16,12,2975,50,M,0
11,4,1014,28,M,0
11,5,1252,35,F,0
11,5,1249,35,F,0
2,4,998,70,F,0
14,5,1271,28,F,0
14,2,497,14,F,0
14,2,522,14,M,0
14,2,502,14,F,0
14,2,510,14,M,0
14,2,514,14,M,0
14,2,486,14,F,0
2,3,749,52,M,0
14,6,1479,34,M,0
11,5,1274,37,F,1
4,5,1271,74,M,0
11,3,725,23,F,0
16,4,1024,23,F,0
16,3,748,19,F,0
11,5,1241,38,F,0
11,2,504,16,M,0
12,9,2239,60,F,0
9,1,226,9,M,0
9,1,247,9,F,0
4,2,513,29,F,0
11,2,518,17,F,0
14,4,1014,26,F,0
11,9,2262,72,M,1
11,5,1243,41,F,0
15,16,3999,82,F,0
9,5,1272,51,F,1
11,4,976,34,F,0
14,8,1977,50,F,1
16,7,1739,38,F,0
14,2,503,16,M,0
2,2,476,41,F,0
14,16,4019,98,F,0
14,4,976,28,F,1
16,7,1755,39,F,0
14,7,1737,47,F,0
16,6,1523,35,F,0
16,6,1513,35,F,1
11,7,1768,62,M,1
16,2,508,16,M,0
16,3,746,21,F,1
11,3,727,28,M,0
11,7,1754,64,M,0
11,1,249,11,M,1
9,3,769,34,M,0
14,4,1016,30,M,0
23,38,9478,98,M,0
11,6,1493,58,M,0
11,1,239,11,F,0
11,1,271,11,M,0
11,1,230,11,F,0
11,1,242,11,F,0
11,1,264,11,M,0
11,1,244,11,F,0
11,1,274,11,F,0
11,1,234,11,F,0
11,2,479,21,F,0
11,5,1269,50,F,0
11,2,481,21,M,0
16,4,978,28,M,0
4,2,504,41,F,0
16,6,1479,40,M,0
14,3,728,26,F,0
9,2,497,26,M,0
21,16,4020,64,F,0
14,6,1518,51,M,0
11,2,518,24,F,0
4,3,775,71,F,0
21,13,3236,57,F,0
11,6,1488,71,M,0
14,2,483,21,F,1
23,15,3772,57,F,0
14,4,1002,38,F,0
11,2,507,26,F,0
16,5,1232,40,F,1
4,2,492,51,M,1
14,3,751,31,F,0
4,2,506,52,F,0
9,4,984,65,M,0
14,4,987,40,F,0
11,3,753,40,F,1
14,5,1263,50,F,0
14,1,271,14,F,0
14,1,230,14,F,0
14,1,274,14,M,0
14,1,251,14,M,0
14,1,233,14,F,0
14,1,268,14,F,0
14,1,275,14,F,0
14,1,262,14,M,0
14,7,1747,72,F,0
14,1,244,14,M,0
14,1,252,14,F,0
9,3,725,52,M,0
14,7,1763,73,F,0
11,4,1000,58,M,0
11,4,994,59,M,0
4,2,511,59,F,0
11,4,994,61,F,0
16,4,1017,40,M,0
16,10,2519,89,M,0
21,2,487,21,M,1
21,3,771,26,F,0
16,8,2007,76,F,0
21,3,736,26,M,1
18,2,498,23,F,0
23,5,1234,33,F,0
23,8,1992,46,M,0
16,3,730,34,F,0
14,5,1270,64,F,0
14,3,740,41,F,0
16,1,247,16,F,0
16,1,251,16,M,0
16,1,245,16,M,0
16,1,261,16,F,0
16,1,227,16,F,0
16,1,234,16,F,0
16,1,227,16,F,0
16,4,981,45,F,0
16,1,241,16,M,0
16,1,255,16,M,0
16,1,228,16,M,0
16,1,232,16,M,0
16,1,255,16,M,0
16,2,477,26,F,0
21,2,507,23,F,0
16,2,520,27,M,0
21,2,511,23,F,0
21,2,506,23,M,0
14,4,1019,57,M,0
16,5,1242,60,F,0
23,2,490,23,F,0
14,5,1245,74,F,0
23,3,742,28,M,0
16,3,762,40,F,0
9,2,510,52,M,0
9,2,484,52,F,0
16,7,1729,87,F,1
14,4,987,64,M,0
14,2,522,35,M,0
16,7,1738,93,M,0
21,2,520,25,M,0
14,3,750,52,M,0
23,14,3510,93,M,0
18,8,2014,95,M,0
16,3,755,46,F,0
11,3,755,76,F,0
11,2,502,52,F,0
11,3,774,76,F,0
23,12,2980,86,M,0
21,3,745,35,M,0
23,2,491,26,F,0
23,2,491,26,F,0
23,8,1989,64,F,0
16,3,748,50,F,0
23,3,738,33,M,0
21,3,754,38,F,0
23,2,484,28,M,0
21,1,256,21,F,0
21,1,253,21,F,0
21,1,273,21,M,0
21,1,263,21,M,0
21,1,252,21,M,0
21,1,241,21,F,0
21,1,255,21,M,0
21,1,229,21,M,0
21,1,274,21,F,0
21,1,235,21,F,1
21,1,236,21,F,0
21,1,273,21,F,0
21,5,1261,60,F,0
23,4,1014,45,M,0
21,4,991,52,M,0
22,1,272,22,M,1
11,2,497,70,M,0
23,5,1225,58,F,0
23,3,767,40,M,0
23,3,746,41,F,0
14,3,746,83,F,0
21,2,484,35,F,0
26,5,1233,49,F,1
23,6,1490,70,F,0
23,1,225,23,M,0
23,1,256,23,F,0
23,1,254,23,F,0
23,1,250,23,F,0
23,1,227,23,M,0
23,1,238,23,F,0
23,1,245,23,M,0
23,1,253,23,M,0
23,4,1020,53,M,0
21,6,1485,86,F,0
23,3,726,48,M,0
21,2,506,41,M,0
21,3,771,64,M,0
16,2,522,70,F,0
21,3,748,70,F,0
23,4,991,87,F,0
23,3,743,89,F,0
23,2,523,87,F,0
35,3,767,64,M,0
38,1,263,38,M,0
38,1,261,38,M,0
40,1,248,40,F,0
74,1,252,74,M,0
2,43,10740,86,F,1
6,22,5513,28,F,1
2,34,8514,77,M,1
2,44,11011,98,F,0
0,26,6476,76,M,1
2,41,10270,98,F,1
3,21,5235,42,F,1
2,11,2734,23,M,0
2,21,5226,52,M,1
2,13,3263,32,F,1
4,4,981,4,M,1
2,11,2760,26,F,0
2,11,2745,28,F,0
3,14,3524,35,M,0
4,16,4022,38,M,1
4,6,1520,14,F,0
3,5,1225,12,F,1
4,33,8231,98,M,1
3,10,2490,33,F,1
4,10,2498,28,F,1
2,11,2733,40,F,1
2,11,2752,41,F,1
4,13,3246,39,F,1
1,10,2505,43,F,1
4,9,2246,28,M,0
2,4,1012,11,M,0
2,5,1267,16,F,1
2,15,3731,64,M,0
5,24,5981,79,M,0
2,6,1500,22,M,1
4,5,1264,16,F,1
2,4,990,14,F,1
4,8,1977,28,F,0
2,4,1001,14,F,0
2,6,1498,26,F,0
4,5,1269,16,F,1
2,7,1753,32,M,1
2,6,1482,26,F,1
2,8,2004,38,F,1
2,2,479,4,F,1
2,6,1500,28,F,1
2,10,2484,52,F,0
4,16,3975,70,F,1
4,2,493,4,M,1
1,14,3500,95,F,0
4,2,506,4,F,1
7,14,3514,48,F,0
2,3,751,11,M,0
2,12,3008,70,F,1
4,7,1733,32,M,1
4,4,987,16,F,0
2,6,1495,35,F,1
4,6,1522,28,M,1
2,3,761,14,F,0
2,4,1002,23,M,0
4,4,1023,18,F,0
5,6,1525,28,M,0
4,6,1510,30,F,0
14,5,1249,14,F,0
3,8,2015,50,F,0
4,11,2741,64,F,1
4,9,2248,52,M,0
4,16,4022,98,M,1
7,10,2522,47,M,0
4,14,3504,86,M,0
2,9,2256,75,M,0
4,6,1491,35,M,0
4,9,2248,55,M,0
4,6,1520,35,M,1
2,6,1502,45,M,0
2,6,1492,47,F,0
4,2,476,9,M,0
2,2,502,11,F,1
2,2,513,11,M,0
2,2,502,11,F,1
4,6,1497,38,F,1
3,4,992,29,F,1
9,9,2262,38,M,0
11,5,1236,18,F,0
2,3,731,21,M,0
2,1,271,2,M,0
2,1,237,2,F,1
2,1,228,2,F,0
2,1,261,2,M,0
2,1,261,2,F,0
2,1,242,2,M,0
2,1,247,2,M,1
2,1,237,2,M,0
2,1,263,2,F,0
2,1,232,2,M,0
2,1,264,2,F,0
11,11,2729,38,F,0
2,3,774,22,F,0
9,11,2758,49,F,1
5,11,2726,75,M,0
3,5,1249,38,M,0
3,1,239,3,M,1
4,6,1477,43,F,0
2,3,768,24,F,0
12,11,2767,39,F,0
2,2,475,14,M,0
4,6,1506,46,M,0
9,3,733,14,M,0
14,8,2018,26,F,0
4,2,519,13,F,0
4,11,2745,95,M,0
2,7,1762,77,M,0
2,7,1769,77,M,0
4,1,256,4,F,0
4,1,253,4,M,0
4,1,257,4,M,0
4,1,251,4,F,0
4,1,250,4,F,1
4,1,272,4,M,0
4,1,264,4,M,0
4,1,230,4,F,0
4,1,228,4,M,0
4,1,226,4,M,0
4,1,232,4,F,1
4,1,238,4,F,0
4,7,1729,62,F,0
4,1,240,4,F,0
4,4,1019,34,F,1
11,6,1485,28,M,0
13,3,757,14,F,1
7,5,1237,35,M,0
9,9,2227,54,M,0
11,2,523,11,M,0
2,5,1271,63,F,0
7,11,2737,89,M,0
8,9,2269,64,F,0
2,2,489,22,M,0
6,3,773,26,M,0
12,15,3775,71,F,0
13,3,731,16,F,0
11,16,3990,89,F,0
4,5,1233,58,M,0
14,7,1768,35,M,0
11,4,1014,27,M,0
7,9,2250,89,F,1
11,8,2018,52,F,1
7,5,1266,52,F,0
11,6,1488,41,M,0
10,5,1243,38,F,0
14,2,503,14,F,1
14,2,500,14,M,0
14,2,522,14,M,0
2,2,509,33,M,0
11,3,770,23,M,0
14,8,1999,46,F,0
9,1,257,9,F,0
16,5,1252,27,M,0
14,4,985,26,F,0
4,2,504,30,F,0
14,3,744,21,M,0
16,16,4002,77,M,0
4,2,512,31,M,0
14,8,2018,50,M,0
11,3,758,26,M,0
14,7,1726,45,F,0
15,5,1235,33,F,0
16,2,513,16,M,0
16,3,756,21,F,0
11,8,2023,72,M,0
11,1,261,11,F,0
11,1,251,11,F,0
11,1,249,11,F,0
11,1,275,11,M,1
11,1,225,11,M,0
2,3,751,75,M,1
2,3,759,77,F,0
16,4,1022,28,F,0
16,15,3763,87,F,0
16,14,3513,83,M,0
16,10,2487,62,M,0
16,3,725,23,F,0
14,3,769,26,F,0
23,19,4750,62,M,0
11,7,1738,75,M,0
14,3,730,28,M,0
20,14,3506,69,M,1
4,2,493,46,F,0
11,2,520,25,M,0
11,3,738,37,F,0
16,4,1023,33,F,0
21,7,1748,38,M,0
13,7,1747,76,M,0
16,6,1507,50,M,0
14,3,752,33,F,0
14,1,225,14,F,0
14,1,272,14,F,0
14,1,244,14,F,0
14,1,242,14,F,0
14,1,243,14,F,0
14,1,275,14,M,0
17,7,1734,58,F,1
14,3,743,35,M,0
14,3,770,35,F,0
16,7,1739,64,M,0
21,2,480,21,F,0
16,3,736,35,F,0
16,1,260,16,M,0
16,1,229,16,F,0
16,1,263,16,M,0
16,1,275,16,M,0
16,1,267,16,F,0
14,2,497,29,F,0
11,4,986,74,F,0
11,2,498,38,F,1
21,6,1498,48,M,0
23,2,491,23,F,0
23,6,1495,45,F,0
14,2,492,35,F,1
16,6,1502,81,F,0
16,4,1011,58,M,0
16,5,1259,71,M,0
21,2,508,26,F,0
21,3,756,35,F,0
21,3,744,35,F,0
23,8,1994,69,M,0
21,3,726,38,M,0
23,3,771,35,F,0
21,3,763,40,F,0
23,2,512,28,F,0
21,1,231,21,F,0
21,1,236,21,M,0
25,6,1511,50,M,0
21,1,265,21,F,0
21,1,274,21,F,0
23,3,737,39,F,0
21,2,520,33,M,0
14,3,774,79,F,0
23,1,269,23,F,1
23,1,265,23,F,0
23,1,271,23,F,0
23,1,267,23,F,0
23,1,272,23,F,0
23,1,234,23,F,0
23,1,262,23,F,0
23,4,1003,52,F,0
23,1,245,23,M,0
23,7,1769,88,F,0
16,3,744,86,M,0
23,2,521,38,M,0
21,2,485,52,F,0
23,3,727,62,M,0
39,1,246,39,M,0
72,1,230,72,M,0
